"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"23","","src\Main.java","2","99","Usage of System.out/err","Best Practices","SystemPrintln"
"24","","src\Main.java","3","100","The String literal 'Logging out...' appears 4 times in this file; the first occurrence is on line 100","Error Prone","AvoidDuplicateLiterals"
"25","","src\Main.java","3","104","Assigning an Object to null is a code smell.  Consider refactoring.","Error Prone","NullAssignment"
"26","","src\Main.java","3","106","Assigning an Object to null is a code smell.  Consider refactoring.","Error Prone","NullAssignment"
"27","","src\Main.java","2","112","Usage of System.out/err","Best Practices","SystemPrintln"
"28","","src\Main.java","3","113","The String literal 'Invalid Choice.' appears 4 times in this file; the first occurrence is on line 113","Error Prone","AvoidDuplicateLiterals"
"29","","src\Main.java","2","133","Usage of System.out/err","Best Practices","SystemPrintln"
"30","","src\Main.java","2","135","Usage of System.out/err","Best Practices","SystemPrintln"
"31","","src\Main.java","2","136","Usage of System.out/err","Best Practices","SystemPrintln"
"32","","src\Main.java","2","137","Usage of System.out/err","Best Practices","SystemPrintln"
"33","","src\Main.java","2","138","Usage of System.out/err","Best Practices","SystemPrintln"
"34","","src\Main.java","2","139","Usage of System.out/err","Best Practices","SystemPrintln"
"35","","src\Main.java","2","140","Usage of System.out/err","Best Practices","SystemPrintln"
"36","","src\Main.java","2","141","Usage of System.out/err","Best Practices","SystemPrintln"
"37","","src\Main.java","2","142","Usage of System.out/err","Best Practices","SystemPrintln"
"38","","src\Main.java","2","144","Usage of System.out/err","Best Practices","SystemPrintln"
"39","","src\Main.java","2","195","Usage of System.out/err","Best Practices","SystemPrintln"
"40","","src\Main.java","3","200","Assigning an Object to null is a code smell.  Consider refactoring.","Error Prone","NullAssignment"
"41","","src\Main.java","3","202","Assigning an Object to null is a code smell.  Consider refactoring.","Error Prone","NullAssignment"
"42","","src\Main.java","2","208","Usage of System.out/err","Best Practices","SystemPrintln"
"43","","src\Main.java","2","228","Usage of System.out/err","Best Practices","SystemPrintln"
"44","","src\Main.java","2","230","Usage of System.out/err","Best Practices","SystemPrintln"
"45","","src\Main.java","2","231","Usage of System.out/err","Best Practices","SystemPrintln"
"46","","src\Main.java","2","232","Usage of System.out/err","Best Practices","SystemPrintln"
"47","","src\Main.java","2","233","Usage of System.out/err","Best Practices","SystemPrintln"
"48","","src\Main.java","2","235","Usage of System.out/err","Best Practices","SystemPrintln"
"49","","src\Main.java","2","264","Usage of System.out/err","Best Practices","SystemPrintln"
"50","","src\Main.java","3","269","Assigning an Object to null is a code smell.  Consider refactoring.","Error Prone","NullAssignment"
"51","","src\Main.java","3","271","Assigning an Object to null is a code smell.  Consider refactoring.","Error Prone","NullAssignment"
"52","","src\Main.java","2","277","Usage of System.out/err","Best Practices","SystemPrintln"
"53","","src\Main.java","2","298","Usage of System.out/err","Best Practices","SystemPrintln"
"54","","src\Main.java","2","302","Usage of System.out/err","Best Practices","SystemPrintln"
"55","","src\Main.java","2","306","Usage of System.out/err","Best Practices","SystemPrintln"
"56","","src\Main.java","2","310","Usage of System.out/err","Best Practices","SystemPrintln"
"57","","src\Main.java","2","314","Usage of System.out/err","Best Practices","SystemPrintln"
"58","","src\Main.java","2","339","Usage of System.out/err","Best Practices","SystemPrintln"
"59","","src\Main.java","3","344","Assigning an Object to null is a code smell.  Consider refactoring.","Error Prone","NullAssignment"
"60","","src\Main.java","3","346","Assigning an Object to null is a code smell.  Consider refactoring.","Error Prone","NullAssignment"
"61","","src\Main.java","2","352","Usage of System.out/err","Best Practices","SystemPrintln"
"1","Test","src\Test\FuzzingTestTemplate.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","Test","src\Test\FuzzingTestTemplate.java","3","9","Parameter 'data' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","Test","src\Test\FuzzingTestTemplate.java","3","11","Local variable 'password' could be declared final","Code Style","LocalVariableCouldBeFinal"
"1","Test","src\Test\LoginTest.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","Test","src\Test\LoginTest.java","3","9","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"3","Test","src\Test\LoginTest.java","3","14","Local variable 'hash' could be declared final","Code Style","LocalVariableCouldBeFinal"
"4","Test","src\Test\LoginTest.java","3","16","The String literal 'Rama@123' appears 6 times in this file; the first occurrence is on line 16","Error Prone","AvoidDuplicateLiterals"
"5","Test","src\Test\LoginTest.java","3","21","The String literal '123' appears 6 times in this file; the first occurrence is on line 21","Error Prone","AvoidDuplicateLiterals"
"6","Test","src\Test\LoginTest.java","3","33","Local variable 'hash' could be declared final","Code Style","LocalVariableCouldBeFinal"
"7","Test","src\Test\LoginTest.java","3","52","Local variable 'hash' could be declared final","Code Style","LocalVariableCouldBeFinal"
"8","Test","src\Test\LoginTest.java","3","71","Local variable 'hash' could be declared final","Code Style","LocalVariableCouldBeFinal"
"1","Test","src\Test\PasswordHasherTest.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","Test","src\Test\PasswordHasherTest.java","3","6","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"3","Test","src\Test\PasswordHasherTest.java","3","11","Local variable 'hash' could be declared final","Code Style","LocalVariableCouldBeFinal"
"4","Test","src\Test\PasswordHasherTest.java","3","13","The String literal 'Admin@123' appears 6 times in this file; the first occurrence is on line 13","Error Prone","AvoidDuplicateLiterals"
"5","Test","src\Test\PasswordHasherTest.java","3","23","Local variable 'hash1' could be declared final","Code Style","LocalVariableCouldBeFinal"
"6","Test","src\Test\PasswordHasherTest.java","3","28","Local variable 'hash2' could be declared final","Code Style","LocalVariableCouldBeFinal"
"7","Test","src\Test\PasswordHasherTest.java","3","40","Local variable 'hash1' could be declared final","Code Style","LocalVariableCouldBeFinal"
"8","Test","src\Test\PasswordHasherTest.java","3","45","Local variable 'hash2' could be declared final","Code Style","LocalVariableCouldBeFinal"
"9","Test","src\Test\PasswordHasherTest.java","3","57","Local variable 'hash' could be declared final","Code Style","LocalVariableCouldBeFinal"
"10","Test","src\Test\PasswordHasherTest.java","3","69","Local variable 'hash' could be declared final","Code Style","LocalVariableCouldBeFinal"
"1","Test","src\Test\PasswordPolicyServiceTest.java","3","2","Package name contains upper case characters","Code Style","PackageCase"
"2","Test","src\Test\PasswordPolicyServiceTest.java","3","7","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"1","Test","src\Test\ShipmentTest.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","Test","src\Test\ShipmentTest.java","3","8","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"3","Test","src\Test\ShipmentTest.java","3","16","The String literal '123' appears 4 times in this file; the first occurrence is on line 16","Error Prone","AvoidDuplicateLiterals"
"1","models","src\models\Admin.java","3","5","Parameter 'name' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"2","models","src\models\Admin.java","3","6","Avoid variables with short names like id","Code Style","ShortVariable"
"3","models","src\models\Admin.java","3","6","Parameter 'id' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","models","src\models\Admin.java","3","7","Parameter 'phone' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","models","src\models\Admin.java","3","8","Parameter 'passwordHash' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"6","models","src\models\Admin.java","3","9","Parameter 'locked' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"7","models","src\models\Admin.java","3","10","Parameter 'failedAttempts' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","models","src\models\Customer.java","3","5","Parameter 'name' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"2","models","src\models\Customer.java","3","6","Avoid variables with short names like id","Code Style","ShortVariable"
"3","models","src\models\Customer.java","3","6","Parameter 'id' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","models","src\models\Customer.java","3","7","Parameter 'phone' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","models","src\models\Customer.java","3","8","Parameter 'passwordHash' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"6","models","src\models\Customer.java","3","9","Parameter 'locked' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"7","models","src\models\Customer.java","3","10","Parameter 'failedAttempts' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","models","src\models\DeliveryPersonnel.java","3","5","Parameter 'name' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"2","models","src\models\DeliveryPersonnel.java","3","6","Avoid variables with short names like id","Code Style","ShortVariable"
"3","models","src\models\DeliveryPersonnel.java","3","6","Parameter 'id' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","models","src\models\DeliveryPersonnel.java","3","7","Parameter 'phone' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","models","src\models\DeliveryPersonnel.java","3","8","Parameter 'passwordHash' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"6","models","src\models\DeliveryPersonnel.java","3","9","Parameter 'locked' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"7","models","src\models\DeliveryPersonnel.java","3","10","Parameter 'failedAttempts' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","models","src\models\Dispatcher.java","3","5","Parameter 'name' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"2","models","src\models\Dispatcher.java","3","6","Avoid variables with short names like id","Code Style","ShortVariable"
"3","models","src\models\Dispatcher.java","3","6","Parameter 'id' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","models","src\models\Dispatcher.java","3","7","Parameter 'phone' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","models","src\models\Dispatcher.java","3","8","Parameter 'passwordHash' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"6","models","src\models\Dispatcher.java","3","9","Parameter 'locked' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"7","models","src\models\Dispatcher.java","3","10","Parameter 'failedAttempts' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","models","src\models\Shipment.java","3","16","Parameter 'shipmentId' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"2","models","src\models\Shipment.java","3","17","Parameter 'customerId' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","models","src\models\Shipment.java","3","18","Parameter 'source' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","models","src\models\Shipment.java","3","19","Parameter 'destination' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","models","src\models\Shipment.java","3","20","Parameter 'status' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"6","models","src\models\Shipment.java","3","21","Parameter 'assignedDriver' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"7","models","src\models\Shipment.java","3","36","Parameter 'shipmentId' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"8","models","src\models\Shipment.java","3","44","Parameter 'customerId' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"9","models","src\models\Shipment.java","3","52","Parameter 'source' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"10","models","src\models\Shipment.java","3","60","Parameter 'destination' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"11","models","src\models\Shipment.java","3","68","Parameter 'status' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"12","models","src\models\Shipment.java","3","76","Parameter 'assignedDriver' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","models","src\models\User.java","4","3","Avoid short class names like User","Code Style","ShortClassName"
"2","models","src\models\User.java","3","6","Avoid variables with short names like id","Code Style","ShortVariable"
"3","models","src\models\User.java","3","12","Parameter 'name' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","models","src\models\User.java","3","13","Avoid variables with short names like id","Code Style","ShortVariable"
"5","models","src\models\User.java","3","13","Parameter 'id' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"6","models","src\models\User.java","3","14","Parameter 'phone' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"7","models","src\models\User.java","3","15","Parameter 'passwordHash' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"8","models","src\models\User.java","3","16","Parameter 'locked' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"9","models","src\models\User.java","3","17","Parameter 'failedAttempts' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"10","models","src\models\User.java","3","32","Parameter 'name' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"11","models","src\models\User.java","3","40","Avoid variables with short names like id","Code Style","ShortVariable"
"12","models","src\models\User.java","3","40","Parameter 'id' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"13","models","src\models\User.java","3","48","Parameter 'phone' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"14","models","src\models\User.java","3","56","Parameter 'passwordHash' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"15","models","src\models\User.java","3","64","Parameter 'locked' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"16","models","src\models\User.java","3","72","Parameter 'failedAttempts' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","","src\s.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","src\s.java","4","1","Avoid short class names like s","Code Style","ShortClassName"
"3","","src\s.java","1","1","The class name 's' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"4","","src\s.java","2","3","Usage of System.out/err","Best Practices","SystemPrintln"
"1","security","src\security\PasswordHasher.java","3","8","Parameter 'password' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"2","security","src\security\PasswordHasher.java","3","12","Avoid variables with short names like md","Code Style","ShortVariable"
"3","security","src\security\PasswordHasher.java","3","12","Local variable 'md' could be declared final","Code Style","LocalVariableCouldBeFinal"
"4","security","src\security\PasswordHasher.java","3","15","Local variable 'hashedBytes' could be declared final","Code Style","LocalVariableCouldBeFinal"
"5","security","src\security\PasswordHasher.java","3","16","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"6","security","src\security\PasswordHasher.java","3","18","Avoid variables with short names like sb","Code Style","ShortVariable"
"7","security","src\security\PasswordHasher.java","3","18","Local variable 'sb' could be declared final","Code Style","LocalVariableCouldBeFinal"
"8","security","src\security\PasswordHasher.java","3","20","Local variable 'b' could be declared final","Code Style","LocalVariableCouldBeFinal"
"9","security","src\security\PasswordHasher.java","3","28","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"10","security","src\security\PasswordHasher.java","2","34","Usage of System.out/err","Best Practices","SystemPrintln"
"1","security","src\security\SystemLogger.java","1","13","Missorted modifiers `final static`.","Code Style","ModifierOrder"
"2","security","src\security\SystemLogger.java","3","13","Missing commented default access modifier on field 'LOGGER'","Code Style","CommentDefaultAccessModifier"
"3","security","src\security\SystemLogger.java","3","22","Avoid variables with short names like fh","Code Style","ShortVariable"
"4","security","src\security\SystemLogger.java","3","22","Local variable 'fh' could be declared final","Code Style","LocalVariableCouldBeFinal"
"5","security","src\security\SystemLogger.java","3","38","Local variable 'formatter' could be declared final","Code Style","LocalVariableCouldBeFinal"
"6","security","src\security\SystemLogger.java","2","51","Usage of System.out/err","Best Practices","SystemPrintln"
"7","security","src\security\SystemLogger.java","3","56","'catch' branch identical to 'IOException' branch","Code Style","IdenticalCatchBranches"
"8","security","src\security\SystemLogger.java","2","58","Usage of System.out/err","Best Practices","SystemPrintln"
"9","security","src\security\SystemLogger.java","3","65","Parameter 'msg' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"10","security","src\security\SystemLogger.java","3","72","Parameter 'msg' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"11","security","src\security\SystemLogger.java","3","72","Avoid variables with short names like e","Code Style","ShortVariable"
"12","security","src\security\SystemLogger.java","3","72","Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","services","src\services\AdminService.java","3","18","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"2","services","src\services\AdminService.java","3","18","Local variable 'input' could be declared final","Code Style","LocalVariableCouldBeFinal"
"3","services","src\services\AdminService.java","3","18","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"4","services","src\services\AdminService.java","3","20","The String literal 'admin' appears 6 times in this file; the first occurrence is on line 20","Error Prone","AvoidDuplicateLiterals"
"5","services","src\services\AdminService.java","3","23","The String literal 'Access Denied.' appears 6 times in this file; the first occurrence is on line 23","Error Prone","AvoidDuplicateLiterals"
"6","services","src\services\AdminService.java","2","28","Usage of System.out/err","Best Practices","SystemPrintln"
"7","services","src\services\AdminService.java","3","30","Local variable 'name' could be declared final","Code Style","LocalVariableCouldBeFinal"
"8","services","src\services\AdminService.java","2","33","Usage of System.out/err","Best Practices","SystemPrintln"
"9","services","src\services\AdminService.java","3","35","Avoid variables with short names like id","Code Style","ShortVariable"
"10","services","src\services\AdminService.java","3","35","Local variable 'id' could be declared final","Code Style","LocalVariableCouldBeFinal"
"11","services","src\services\AdminService.java","2","38","Usage of System.out/err","Best Practices","SystemPrintln"
"12","services","src\services\AdminService.java","3","40","Local variable 'phone' could be declared final","Code Style","LocalVariableCouldBeFinal"
"13","services","src\services\AdminService.java","2","48","Usage of System.out/err","Best Practices","SystemPrintln"
"14","services","src\services\AdminService.java","2","56","Usage of System.out/err","Best Practices","SystemPrintln"
"15","services","src\services\AdminService.java","3","68","Local variable 'hashedPassword' could be declared final","Code Style","LocalVariableCouldBeFinal"
"16","services","src\services\AdminService.java","3","75","Avoid variables with short names like br","Code Style","ShortVariable"
"17","services","src\services\AdminService.java","3","75","Ensure that resources like this BufferedReader object are closed after use","Error Prone","CloseResource"
"18","services","src\services\AdminService.java","3","75","Local variable 'br' could be declared final","Code Style","LocalVariableCouldBeFinal"
"19","services","src\services\AdminService.java","3","77","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"20","services","src\services\AdminService.java","3","78","The String literal 'data/users.txt' appears 10 times in this file; the first occurrence is on line 78","Error Prone","AvoidDuplicateLiterals"
"21","services","src\services\AdminService.java","3","85","Avoid assignment to line in operand","Error Prone","AssignmentInOperand"
"22","services","src\services\AdminService.java","3","87","Local variable 'data' could be declared final","Code Style","LocalVariableCouldBeFinal"
"23","services","src\services\AdminService.java","3","91","Avoid using literals such as 7 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"24","services","src\services\AdminService.java","2","99","Usage of System.out/err","Best Practices","SystemPrintln"
"25","services","src\services\AdminService.java","3","113","Avoid variables with short names like fw","Code Style","ShortVariable"
"26","services","src\services\AdminService.java","3","113","Ensure that resources like this FileWriter object are closed after use","Error Prone","CloseResource"
"27","services","src\services\AdminService.java","3","113","Local variable 'fw' could be declared final","Code Style","LocalVariableCouldBeFinal"
"28","services","src\services\AdminService.java","3","114","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"29","services","src\services\AdminService.java","2","131","Usage of System.out/err","Best Practices","SystemPrintln"
"30","services","src\services\AdminService.java","2","144","Usage of System.out/err","Best Practices","SystemPrintln"
"31","services","src\services\AdminService.java","3","162","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"32","services","src\services\AdminService.java","3","162","Local variable 'input' could be declared final","Code Style","LocalVariableCouldBeFinal"
"33","services","src\services\AdminService.java","3","162","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"34","services","src\services\AdminService.java","2","173","Usage of System.out/err","Best Practices","SystemPrintln"
"35","services","src\services\AdminService.java","3","175","Local variable 'name' could be declared final","Code Style","LocalVariableCouldBeFinal"
"36","services","src\services\AdminService.java","2","178","Usage of System.out/err","Best Practices","SystemPrintln"
"37","services","src\services\AdminService.java","3","180","Avoid variables with short names like id","Code Style","ShortVariable"
"38","services","src\services\AdminService.java","3","180","Local variable 'id' could be declared final","Code Style","LocalVariableCouldBeFinal"
"39","services","src\services\AdminService.java","2","183","Usage of System.out/err","Best Practices","SystemPrintln"
"40","services","src\services\AdminService.java","3","185","Local variable 'phone' could be declared final","Code Style","LocalVariableCouldBeFinal"
"41","services","src\services\AdminService.java","2","193","Usage of System.out/err","Best Practices","SystemPrintln"
"42","services","src\services\AdminService.java","2","201","Usage of System.out/err","Best Practices","SystemPrintln"
"43","services","src\services\AdminService.java","3","213","Local variable 'hashedPassword' could be declared final","Code Style","LocalVariableCouldBeFinal"
"44","services","src\services\AdminService.java","3","220","Avoid variables with short names like br","Code Style","ShortVariable"
"45","services","src\services\AdminService.java","3","220","Ensure that resources like this BufferedReader object are closed after use","Error Prone","CloseResource"
"46","services","src\services\AdminService.java","3","220","Local variable 'br' could be declared final","Code Style","LocalVariableCouldBeFinal"
"47","services","src\services\AdminService.java","3","222","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"48","services","src\services\AdminService.java","3","230","Avoid assignment to line in operand","Error Prone","AssignmentInOperand"
"49","services","src\services\AdminService.java","3","232","Local variable 'data' could be declared final","Code Style","LocalVariableCouldBeFinal"
"50","services","src\services\AdminService.java","3","236","Avoid using literals such as 7 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"51","services","src\services\AdminService.java","2","244","Usage of System.out/err","Best Practices","SystemPrintln"
"52","services","src\services\AdminService.java","3","258","Avoid variables with short names like fw","Code Style","ShortVariable"
"53","services","src\services\AdminService.java","3","258","Ensure that resources like this FileWriter object are closed after use","Error Prone","CloseResource"
"54","services","src\services\AdminService.java","3","258","Local variable 'fw' could be declared final","Code Style","LocalVariableCouldBeFinal"
"55","services","src\services\AdminService.java","3","259","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"56","services","src\services\AdminService.java","2","276","Usage of System.out/err","Best Practices","SystemPrintln"
"57","services","src\services\AdminService.java","2","289","Usage of System.out/err","Best Practices","SystemPrintln"
"58","services","src\services\AdminService.java","3","290","The String literal 'Users file not found.' appears 4 times in this file; the first occurrence is on line 290","Error Prone","AvoidDuplicateLiterals"
"59","services","src\services\AdminService.java","3","294","The String literal 'Users file missing' appears 4 times in this file; the first occurrence is on line 294","Error Prone","AvoidDuplicateLiterals"
"60","services","src\services\AdminService.java","2","302","Usage of System.out/err","Best Practices","SystemPrintln"
"61","services","src\services\AdminService.java","3","318","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"62","services","src\services\AdminService.java","3","318","Local variable 'input' could be declared final","Code Style","LocalVariableCouldBeFinal"
"63","services","src\services\AdminService.java","3","318","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"64","services","src\services\AdminService.java","2","327","Usage of System.out/err","Best Practices","SystemPrintln"
"65","services","src\services\AdminService.java","3","329","Local variable 'enteredId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"66","services","src\services\AdminService.java","3","333","Avoid variables with short names like br","Code Style","ShortVariable"
"67","services","src\services\AdminService.java","3","333","Ensure that resources like this BufferedReader object are closed after use","Error Prone","CloseResource"
"68","services","src\services\AdminService.java","3","333","Local variable 'br' could be declared final","Code Style","LocalVariableCouldBeFinal"
"69","services","src\services\AdminService.java","3","333","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"70","services","src\services\AdminService.java","3","335","Local variable 'updatedFile' could be declared final","Code Style","LocalVariableCouldBeFinal"
"71","services","src\services\AdminService.java","3","342","Avoid assignment to line in operand","Error Prone","AssignmentInOperand"
"72","services","src\services\AdminService.java","3","344","Local variable 'data' could be declared final","Code Style","LocalVariableCouldBeFinal"
"73","services","src\services\AdminService.java","3","347","Avoid using literals such as 7 in if statements","Error Prone","AvoidLiteralsInIfCondition"
"74","services","src\services\AdminService.java","3","353","Local variable 'role' could be declared final","Code Style","LocalVariableCouldBeFinal"
"75","services","src\services\AdminService.java","3","355","Local variable 'storedId' could be declared final","Code Style","LocalVariableCouldBeFinal"
"76","services","src\services\AdminService.java","3","361","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"77","services","src\services\AdminService.java","3","363","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"78","services","src\services\AdminService.java","3","380","Avoid variables with short names like fw","Code Style","ShortVariable"
"79","services","src\services\AdminService.java","3","380","Ensure that resources like this FileWriter object are closed after use","Error Prone","CloseResource"
"80","services","src\services\AdminService.java","3","380","Local variable 'fw' could be declared final","Code Style","LocalVariableCouldBeFinal"
"81","services","src\services\AdminService.java","3","380","Specify a character set instead of relying on the default charset","Best Practices","RelianceOnDefaultCharset"
"82","services","src\services\AdminService.java","2","388","Usage of System.out/err","Best Practices","SystemPrintln"
"83","services","src\services\AdminService.java","2","396","Usage of System.out/err","Best Practices","SystemPrintln"
"84","services","src\services\AdminService.java","2","404","Usage of System.out/err","Best Practices","SystemPrintln"
"85","services","src\services\AdminService.java","3","410","Avoid catching NullPointerException in try-catch block","Error Prone","AvoidCatchingGenericException"
"86","services","src\services\AdminService.java","3","410","Avoid catching NullPointerException; consider removing the cause of the NPE.","Error Prone","AvoidCatchingNPE"
"87","services","src\services\AdminService.java","2","412","Usage of System.out/err","Best Practices","SystemPrintln"
"88","services","src\services\AdminService.java","2","420","Usage of System.out/err","Best Practices","SystemPrintln"
"89","services","src\services\AdminService.java","2","428","Usage of System.out/err","Best Practices","SystemPrintln"
